demand_type,contribution_type,item,variant_id,units,value,source_field_id,source_label,excel_row
cooling,gain,sum_opaque_areas,improved_mech_system,kWh,1612.07234392,cooling_demand.sum_opaque_areas,Sum opaque areas,419
cooling,gain,internal_gains,improved_mech_system,kWh,10756.394651,cooling_demand.internal_gains,Internal Gains,420
cooling,limit,demand_limit,improved_mech_system,kWh,0,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,enerphit_by_component,kWh,6099.69144884,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,enerphit_by_component,kWh,237.305297984,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,enerphit_by_component,kWh,1490.59879114,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,enerphit_by_component,kWh,1173.39583969,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,enerphit_by_component,kWh,7003.72169988,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,enerphit_by_component,kWh,1786.75627073,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,enerphit_by_component,kWh,4822.64341935,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,enerphit_by_component,kWh,12007.5439463,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,enerphit_by_component,kWh,577.725586109,heating_demand.north,North,390
heating,gain,east,enerphit_by_component,kWh,610.484753318,heating_demand.east,East,391
heating,gain,south,enerphit_by_component,kWh,2239.6840111,heating_demand.south,South,392
heating,gain,west,enerphit_by_component,kWh,0,heating_demand.west,West,393
heating,gain,horizontal,enerphit_by_component,kWh,604.068772745,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,enerphit_by_component,kWh,1167.72207746,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,enerphit_by_component,kWh,5737.14754937,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,enerphit_by_component,kWh,0,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,enerphit_by_component,kWh,6841.64886158,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,enerphit_by_component,kWh,2017.47307783,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,walls_bg,enerphit_by_component,kWh,265.945112012,cooling_demand.walls_bg,Walls (BG),401
cooling,loss,roofs,enerphit_by_component,kWh,493.015582215,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,enerphit_by_component,kWh,1315.01020276,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,enerphit_by_component,kWh,2316.4811028,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,enerphit_by_component,kWh,590.969674956,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,enerphit_by_component,kWh,1867.73338219,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,enerphit_by_component,kWh,539.802770108,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,enerphit_by_component,kWh,773.499816555,cooling_demand.north,North,414
cooling,gain,east,enerphit_by_component,kWh,890.300202882,cooling_demand.east,East,415
cooling,gain,south,enerphit_by_component,kWh,1282.032241,cooling_demand.south,South,416
cooling,gain,west,enerphit_by_component,kWh,0,cooling_demand.west,West,417
cooling,gain,horizontal,enerphit_by_component,kWh,902.090631969,cooling_demand.horizontal,Horizontal,418
