metric,role,variant_id,units,value,source_field_id,source_label,excel_row
latent_cooling_demand,result,enerphit_by_demand,kWh,639.646246904,certification_results.latent_cooling_demand,Latent Cooling Demand,461
latent_cooling_demand,limit,enerphit_by_demand,kWh,513.135252824,certification_limits.latent_cooling_demand_limit,Latent Cooling Demand Limit,365
total_cooling_demand,result,enerphit_by_demand,kWh,7003.55950036,certification_results.total_cooling_demand,Total Cooling Demand,462
total_cooling_demand,limit,enerphit_by_demand,kWh,8210.16404518,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
peak_heat_load,result,enerphit_by_demand,W,7713.03176584,certification_results.peak_heat_load,Peak Heat Load,463
peak_heat_load,limit,enerphit_by_demand,W,0,certification_limits.peak_heat_load_limit,Peak Heat Load Limit,367
peak_cooling_load,result,enerphit_by_demand,W,5292.72957445,certification_results.peak_cooling_load,Peak Cooling Load,464
peak_cooling_load,limit,enerphit_by_demand,W,4532.4494482,certification_limits.peak_cooling_load_limit,Peak Cooling Load Limit,368
pe_demand,result,enerphit_by_demand,kWh,69084.1435659,certification_results.pe_demand,PE Demand,465
pe_demand,limit,enerphit_by_demand,kWh,0,certification_limits.pe_limit,PE Limit,369
per_demand,result,enerphit_by_demand,kWh,33528.2636177,certification_results.per_demand,PER Demand,466
per_demand,limit,enerphit_by_demand,kWh,31301.2504223,certification_limits.per_limit,PER Limit,370
phius_net_source_energy,limit,enerphit_by_demand,kWh,11689.9882409,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
